Time,H1,H2,T1,T2
0,0.0,0.0,19.29,18.32
1,0.0,0.0,19.29,18.32
2,0.0,0.0,19.16,18.32
3,0.0,0.0,19.16,18.32
4,0.0,0.0,19.25,18.32
5,0.0,0.0,19.25,18.32
6,0.0,0.0,19.16,18.32
7,0.0,0.0,19.09,18.32
8,0.0,0.0,19.16,18.29
9,0.0,0.0,19.13,18.32
10,80.0,0.0,19.22,18.32
11,80.0,0.0,19.19,18.32
12,80.0,0.0,19.19,18.35
13,80.0,0.0,19.09,18.32
14,80.0,0.0,19.16,18.32
15,80.0,0.0,19.29,18.32
16,80.0,0.0,19.29,18.35
17,80.0,0.0,19.29,18.32
18,80.0,0.0,19.35,18.32
19,80.0,0.0,19.45,18.32
20,80.0,0.0,19.61,18.32
21,80.0,0.0,19.61,18.32
22,80.0,0.0,19.8,18.32
23,80.0,0.0,19.96,18.32
24,80.0,0.0,19.93,18.32
25,80.0,0.0,20.22,18.35
26,80.0,0.0,20.25,18.32
27,80.0,0.0,20.48,18.32
28,80.0,0.0,20.58,18.32
29,80.0,0.0,20.87,18.32
30,80.0,0.0,20.9,18.35
31,80.0,0.0,21.16,18.32
32,80.0,0.0,21.22,18.32
33,80.0,0.0,21.35,18.32
34,80.0,0.0,21.54,18.32
35,80.0,0.0,21.8,18.32
36,80.0,0.0,21.87,18.32
37,80.0,0.0,22.03,18.32
38,80.0,0.0,22.19,18.32
39,80.0,0.0,22.41,18.32
40,80.0,0.0,22.54,18.32
41,80.0,0.0,22.74,18.32
42,80.0,0.0,22.83,18.32
43,80.0,0.0,23.09,18.32
44,80.0,0.0,23.15,18.32
45,80.0,0.0,23.48,18.32
46,80.0,0.0,23.51,18.32
47,80.0,0.0,23.8,18.32
48,80.0,0.0,23.99,18.32
49,80.0,0.0,24.12,18.38
50,80.0,0.0,24.35,18.35
51,80.0,0.0,24.44,18.32
52,80.0,0.0,24.7,18.35
53,80.0,0.0,24.8,18.35
54,80.0,0.0,25.09,18.38
55,80.0,0.0,25.22,18.32
56,80.0,0.0,25.38,18.45
57,80.0,0.0,25.54,18.48
58,80.0,0.0,25.73,18.45
59,80.0,0.0,25.99,18.51
60,80.0,0.0,26.05,18.45
61,80.0,0.0,26.28,18.55
62,80.0,0.0,26.38,18.48
63,80.0,0.0,26.63,18.51
64,80.0,0.0,26.73,18.64
65,80.0,0.0,26.96,18.55
66,80.0,0.0,27.02,18.61
67,80.0,0.0,27.34,18.58
68,80.0,0.0,27.34,18.61
69,80.0,0.0,27.54,18.61
70,80.0,0.0,27.67,18.64
71,80.0,0.0,27.96,18.64
72,80.0,0.0,27.99,18.64
73,80.0,0.0,28.25,18.64
74,80.0,0.0,28.31,18.64
75,80.0,0.0,28.57,18.64
76,80.0,0.0,28.63,18.71
77,80.0,0.0,28.86,18.67
78,80.0,0.0,28.96,18.64
79,80.0,0.0,29.25,18.8
80,80.0,0.0,29.28,18.77
81,80.0,0.0,29.41,18.77
82,80.0,0.0,29.6,18.8
83,80.0,0.0,29.83,18.9
84,80.0,0.0,29.92,18.96
85,80.0,0.0,30.12,18.96
86,80.0,0.0,30.24,18.96
87,80.0,0.0,30.37,18.93
88,80.0,0.0,30.57,18.96
89,80.0,0.0,30.7,18.96
90,80.0,0.0,30.86,18.96
91,80.0,0.0,30.92,18.96
92,80.0,0.0,31.21,18.96
93,80.0,0.0,31.31,18.96
94,80.0,0.0,31.44,19.03
95,80.0,0.0,31.6,19.13
96,80.0,0.0,31.66,19.13
97,80.0,0.0,31.86,19.19
98,80.0,0.0,31.98,19.19
99,80.0,0.0,32.21,19.16
100,80.0,0.0,32.34,19.19
101,80.0,0.0,32.5,19.19
102,80.0,0.0,32.53,19.25
103,80.0,0.0,32.79,19.25
104,80.0,0.0,32.82,19.29
105,80.0,0.0,32.95,19.29
106,80.0,0.0,33.14,19.29
107,80.0,0.0,33.18,19.32
108,80.0,0.0,33.47,19.35
109,80.0,0.0,33.47,19.32
110,80.0,0.0,33.69,19.32
111,80.0,0.0,33.79,19.42
112,80.0,0.0,33.89,19.54
113,80.0,0.0,34.08,19.42
114,80.0,0.0,34.11,19.58
115,80.0,0.0,34.24,19.58
116,80.0,0.0,34.43,19.58
117,80.0,0.0,34.56,19.61
118,80.0,0.0,34.72,19.61
119,80.0,0.0,34.76,19.61
120,80.0,100.0,34.98,19.8
121,80.0,100.0,35.08,20.19
122,80.0,100.0,35.14,20.06
123,80.0,100.0,35.3,20.09
124,80.0,100.0,35.4,20.32
